,compound_names,gt_compound_name,ui_retention_time,gt_retention_time,rt_difference,p_value,compoundID_from_user,gt_KEGG,ui_KEGG,gt_index,ui_index,eid
216,Indole-3-acetaldehyde,Indole-3-acetaldehyde,291.522705078125,317.76,26.23729492187499,5.430860626366522e-05,M228.063301T291.5227,C00637,C00637,303,1293,E649
217,5-Methoxyindoleacetate,5-methoxyindoleacetic acid,291.522705078125,301.26,9.737294921874991,5.430860626366522e-05,M228.063301T291.5227,C05660,C05660,279,1294,E1072
218,L-Kynurenine$Formyl-5-hydroxykynurenamine,L-kynurenine,150.06364440918,151.2,1.1363555908199885,0.0018738052357169,M231.074265T150.0636,C00328,C00328,101,1299,E1113
220,N-Acetylserotonin; N-Acetyl-5-hydroxytryptamine,N-acetylserotonin,154.598556518555,336.78000000000003,182.18144348144503,0.0013559307391888,M241.093282T154.5986,C00978,C00978,320,1325,E1156
227,"(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid$(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate",Gamma-linolenic acid,575.772979736328,520.14,55.632979736328025,0.0001216689952822,M279.23185T575.773_2,C06426,C06426,467,1423,E545
228,"(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid$(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate",alpha-linolenic acid,575.772979736328,537.0600000000001,38.71297973632795,0.0001216689952822,M279.23185T575.773_2,C06427,C06427,479,1424,E545
241,"(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid$(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate",Gamma-linolenic acid,575.659210205078,520.14,55.519210205078025,0.000133311302418,M280.235203T575.6592,C06426,C06426,467,1449,E545
242,"(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid$(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate",alpha-linolenic acid,575.659210205078,537.0600000000001,38.59921020507795,0.000133311302418,M280.235203T575.6592,C06427,C06427,479,1450,E545
245,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,599.122924804688,599.8199999999999,0.6970751953119816,0.0002024748404807,M283.263134T599.1229_1,C00712,C00712,514,1470,E581
246,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,551.160522460938,599.8199999999999,48.65947753906198,0.0001055244594317,M283.263163T551.1605_2,C00712,C00712,514,1471,E580
247,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,551.173065185547,599.8199999999999,48.64693481445295,0.0001486796945737,M284.266473T551.1731_2,C00712,C00712,514,1474,E580
248,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,599.235290527344,599.8199999999999,0.584709472655959,0.0003763321508384,M284.266569T599.2353,C00712,C00712,514,1475,E581
255,Bilirubin,Bilirubin,343.232452392578,439.20000000000005,95.96754760742203,0.0007473892366719,M293.138617T343.2325,C00486,C00486,416,1532,E1505
257,5-Methylthioadenosine,5'-methylthioadenosine,209.123718261719,209.82,0.6962817382809874,2.240101049490115e-05,M298.096815T209.1237,C00170,C00170,156,1584,E1530
258,5-Methylthioadenosine,5'-methylthioadenosine,209.117195129395,209.82,0.7028048706050072,1.1184601786794775e-05,M299.100502T209.1172,C00170,C00170,156,1589,E1530
265,"(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid$(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate",Gamma-linolenic acid,575.727966308594,520.14,55.58796630859399,9.007359684933444e-05,M301.213734T575.728_3,C06426,C06426,467,1611,E545
266,"(6Z,9Z,12Z)-Octadecatrienoic acid; 6,9,12-Octadecatrienoic acid; gamma-Linolenic acid; Gamolenic acid$(9Z,12Z,15Z)-Octadecatrienoic acid; alpha-Linolenic acid; 9,12,15-Octadecatrienoic acid; Linolenate; alpha-Linolenate",alpha-linolenic acid,575.727966308594,537.0600000000001,38.66796630859392,9.007359684933444e-05,M301.213734T575.728_3,C06427,C06427,479,1612,E545
268,3-Dehydrosphinganine$Sphingosine,D-sphingosine,503.033767700195,503.04,0.006232299804992181,0.0087299961487753,M301.293051T503.0338,C00319,C00319,454,1616,E1534
271,arachidonic acid,Arachidonic acid,599.190246582031,585.36,13.830246582031009,0.000445643127109,M305.245118T599.1902_2,C00219,C00219,508,1669,E573
272,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,599.190246582031,599.8199999999999,0.6297534179689137,0.000445643127109,M305.245118T599.1902_2,C00712,C00712,514,1670,E581
278,arachidonic acid,Arachidonic acid,599.194122314453,585.36,13.834122314452998,0.0003880366033058,M306.248519T599.1941,C00219,C00219,508,1682,E573
285,Ubiquinone,Coenzyme Q1,575.746826171875,379.62,196.126826171875,0.0001508645215233,M318.182062T575.7468_1,C00399,C00399,365,1749,E1626
288,Ubiquinone,Coenzyme Q1,586.584808349609,379.62,206.96480834960903,0.0001026684143086,M319.19282T586.5848,C00399,C00399,365,1769,E1626
292,5-Methylthioadenosine,5'-methylthioadenosine,516.985463851563,209.82,307.16546385156306,0.0011752554048904,M320.080544T516.9855,C00170,C00170,156,1781,E1531
305,"11-Deoxycortisol; Cortodoxone$21-Deoxycortisol; 4-Pregnene-11beta,17alpha-diol-3,20-dione; 11beta,17alpha-Dihydroxyprogesterone$21-Hydroxy-5beta-pregnane-3,11,20-trione$Corticosterone; 11beta,21-Dihydroxy-4-pregnene-3,20-dione; Kendall's compound B; Reichstein's substance H",Corticosterone,593.001037597656,467.58,125.42103759765604,0.0008756876742216,M346.21332T593.001,C02140,C02140,437,2076,E796
315,(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid,Oleate,545.172485351562,599.8199999999999,54.64751464843789,0.0025842595258418,M351.252739T545.1725,C00712,C00712,514,2131,E580
316,"17alpha-Hydroxyprogesterone$11-Deoxycorticosterone; Deoxycorticosterone; Cortexone; 21-Hydroxy-4-pregnene-3,20-dione; Desoxycortone; DOC$11beta-Hydroxyprogesterone$17alpha-Hydroxyprogesterone; 17alpha-Hydroxy-4-pregnene-3,20-dione; Pregn-4-ene-3,20-dione-17-ol; 17alpha-Hydroxy-progesterone",Desoxycortone,580.389099121094,388.68,191.70909912109397,0.0026563742582343,M353.211119T580.3891,C03205,C03205,375,2154,E1679
317,"17alpha-Hydroxyprogesterone$11-Deoxycorticosterone; Deoxycorticosterone; Cortexone; 21-Hydroxy-4-pregnene-3,20-dione; Desoxycortone; DOC$11beta-Hydroxyprogesterone$17alpha-Hydroxyprogesterone; 17alpha-Hydroxy-4-pregnene-3,20-dione; Pregn-4-ene-3,20-dione-17-ol; 17alpha-Hydroxy-progesterone",17-hydroxyprogesterone,580.389099121094,458.82,121.56909912109398,0.0026563742582343,M353.211119T580.3891,C01176,C01176,429,2156,E1679
337,"Desmosterol; 24-Dehydrocholesterol; Cholesta-5,24-dien-3beta-ol$Cholest-4-en-3-one; Cholestenone; 4-Cholesten-3-one$Zymosterol; delta8,24-Cholestadien-3beta-ol; 5alpha-Cholesta-8,24-dien-3beta-ol$5alpha-Cholesta-7,24-dien-3beta-ol$Cholesta-5,7-dien-3beta-ol; 7-Dehydrocholesterol; Provitamin D3$Vitamin D3; Cholecalciferol",Cholest-4-en-3-one,547.050323486328,673.14,126.08967651367198,0.0019870126085015,M385.343896T547.0503,C00599,C00599,77,2532,E1010
338,"Desmosterol; 24-Dehydrocholesterol; Cholesta-5,24-dien-3beta-ol$Cholest-4-en-3-one; Cholestenone; 4-Cholesten-3-one$Zymosterol; delta8,24-Cholestadien-3beta-ol; 5alpha-Cholesta-8,24-dien-3beta-ol$5alpha-Cholesta-7,24-dien-3beta-ol$Cholesta-5,7-dien-3beta-ol; 7-Dehydrocholesterol; Provitamin D3$Vitamin D3; Cholecalciferol",Cholecalciferol,547.050323486328,631.1999999999999,84.14967651367192,0.0019870126085015,M385.343896T547.0503,C05443,C05443,76,2536,E1010
354,Testosterone glucuronide; Testosterone 17beta-(beta-D-glucuronide)$testosterone glucuronide,Epitestosterone glucuronide,718.398162841797,402.48,315.91816284179697,0.0081704855633303,M465.250499T718.3982_2,C11134,C11134,388,2920,E1256
